,G_x,AB,R,H,2B,3B,HR,RBI,SB_x,CS_x,BB,SO,IBB,HBP,SH,SF,GIDP,stint,G_y,GS,InnOuts,PO,A,E,DP,PB,SB_y,CS_y,salary,MinSalaries,adjSalary,adjMinSalaries,adjSalary2,Bavg,Slug,OBP,FPct,yearID,playerID,Primary
2034,135,485,57,128,18,3,15,72.0,1.0,1.0,48,89.0,2.0,3.0,0.0,6.0,18.0,1.0,19.0,18.0,450.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,2214865.0,62500.0,4591415.145,129562.5,4591415.145,0.2639175257731959,0.4061855670103093,0.33025830258302585,0.967741935483871,1988,riceji01,OF
2037,161,575,87,152,25,1,23,81.0,2.0,2.0,102,69.0,7.0,2.0,0.0,10.0,10.0,1.0,161.0,161.0,4227.0,284.0,480.0,21.0,119.0,0.0,0.0,0.0,1700000.0,62500.0,3524100.0,129562.5,3524100.0,0.2643478260869565,0.43130434782608695,0.37155297532656023,0.9732484076433121,1988,ripkeca01,SS
2062,108,390,52,97,21,2,12,62.0,3.0,0.0,49,42.0,10.0,6.0,0.0,6.0,11.0,2.0,107.0,103.0,2704.0,76.0,223.0,19.0,17.0,0.0,0.0,0.0,2250000.0,62500.0,4664250.0,129562.5,4664250.0,0.24871794871794872,0.40512820512820513,0.3370288248337029,0.940251572327044,1988,schmimi01,3B
2082,153,575,80,155,27,1,3,51.0,57.0,9.0,74,43.0,2.0,1.0,12.0,7.0,7.0,1.0,150.0,150.0,3987.0,234.0,519.0,22.0,79.0,0.0,0.0,0.0,2340000.0,62500.0,4850820.0,129562.5,4850820.0,0.26956521739130435,0.3356521739130435,0.350076103500761,0.9716129032258064,1988,smithoz01,SS
2152,149,559,96,180,37,2,25,107.0,9.0,4.0,69,88.0,10.0,2.0,0.0,1.0,19.0,1.0,141.0,141.0,3784.0,276.0,3.0,3.0,1.0,0.0,0.0,0.0,1958652.0,62500.0,4060285.596,129562.5,4060285.596,0.3220035778175313,0.5295169946332737,0.3977812995245642,0.9893617021276596,1988,winfida01,OF
2197,153,613,88,182,41,2,18,104.0,4.0,3.0,33,60.0,3.0,4.0,0.0,14.0,18.0,1.0,134.0,134.0,3566.0,258.0,4.0,10.0,1.0,0.0,0.0,0.0,1900000.0,68000.0,3756299.9999999995,134436.0,3756299.9999999995,0.2969004893964111,0.45840130505709625,0.32981927710843373,0.9632352941176471,1989,bellge02,OF
2214,156,621,113,205,51,7,3,54.0,2.0,6.0,107,51.0,19.0,7.0,0.0,7.0,19.0,1.0,152.0,152.0,4018.0,123.0,264.0,17.0,29.0,0.0,0.0,0.0,1850000.0,68000.0,3657449.9999999995,134436.0,3657449.9999999995,0.33011272141706927,0.4492753623188406,0.4299191374663073,0.9579207920792079,1989,boggswa01,3B
2229,124,457,67,129,26,3,12,80.0,14.0,4.0,59,47.0,14.0,3.0,0.0,9.0,18.0,2.0,106.0,105.0,2719.0,898.0,80.0,2.0,71.0,0.0,0.0,0.0,2005000.0,68000.0,3963884.9999999995,134436.0,3963884.9999999995,0.28227571115973743,0.4310722100656455,0.36174242424242425,0.9979591836734694,1989,brettge01,1B
2252,65,227,40,61,9,1,17,57.0,6.0,3.0,23,69.0,4.0,2.0,0.0,6.0,4.0,1.0,56.0,55.0,1418.0,119.0,5.0,3.0,2.0,0.0,0.0,0.0,1600000.0,68000.0,3163200.0,134436.0,3163200.0,0.2687224669603524,0.5418502202643172,0.3333333333333333,0.9763779527559056,1989,cansejo01,OF
2254,50,153,14,28,8,0,2,15.0,0.0,0.0,12,15.0,0.0,0.0,0.0,1.0,5.0,2.0,48.0,42.0,1110.0,266.0,31.0,6.0,6.0,3.0,46.0,20.0,2198572.0,68000.0,4346576.844,134436.0,4346576.844,0.1830065359477124,0.27450980392156865,0.24096385542168675,0.9801980198019802,1989,cartega01,C
2255,162,651,84,158,32,4,35,105.0,13.0,5.0,39,112.0,8.0,8.0,2.0,5.0,6.0,2.0,157.0,155.0,4093.0,443.0,20.0,9.0,7.0,0.0,0.0,0.0,1630000.0,68000.0,3222510.0,134436.0,3222510.0,0.24270353302611367,0.46543778801843316,0.29160739687055476,0.9809322033898306,1989,cartejo01,OF
2261,142,455,76,110,19,1,26,94.0,6.0,2.0,132,145.0,18.0,1.0,0.0,5.0,10.0,2.0,143.0,141.0,3578.0,1157.0,89.0,15.0,99.0,0.0,0.0,0.0,2000000.0,68000.0,3953999.9999999995,134436.0,3953999.9999999995,0.24175824175824176,0.4593406593406593,0.40978077571669475,0.9881046788263284,1989,clarkja01,1B
2285,118,416,62,105,18,6,21,77.0,8.0,5.0,35,62.0,13.0,1.0,0.0,7.0,16.0,1.0,112.0,110.0,2805.0,227.0,4.0,3.0,0.0,0.0,0.0,0.0,2100000.0,68000.0,4151699.9999999995,134436.0,4151699.9999999995,0.25240384615384615,0.47596153846153844,0.30718954248366015,0.9871794871794872,1989,dawsoan01,OF
2329,130,498,63,125,11,4,19,75.0,6.0,2.0,25,87.0,5.0,3.0,1.0,9.0,12.0,2.0,127.0,125.0,3211.0,115.0,253.0,10.0,24.0,0.0,0.0,0.0,2400000.0,68000.0,4744800.0,134436.0,4744800.0,0.25100401606425704,0.4036144578313253,0.28598130841121494,0.9735449735449735,1989,gaettga01,3B
2356,162,570,60,177,42,1,17,117.0,2.0,0.0,79,84.0,13.0,4.0,0.0,12.0,17.0,1.0,160.0,160.0,3865.0,1445.0,72.0,15.0,99.0,0.0,0.0,0.0,1833333.0,68000.0,3624499.3409999995,134436.0,3624499.3409999995,0.3105263157894737,0.47719298245614034,0.39097744360902253,0.9902088772845953,1989,guerrpe01,1B
2375,150,541,113,148,26,3,12,57.0,77.0,14.0,126,68.0,5.0,3.0,0.0,4.0,8.0,3.0,147.0,145.0,3813.0,335.0,6.0,4.0,1.0,0.0,0.0,0.0,2120000.0,68000.0,4191239.9999999995,134436.0,4191239.9999999995,0.2735674676524954,0.39926062846580407,0.41097922848664686,0.9884057971014493,1989,henderi01,OF
2377,75,215,18,50,8,0,4,19.0,0.0,3.0,27,39.0,3.0,2.0,0.0,0.0,4.0,1.0,58.0,55.0,1421.0,405.0,31.0,4.0,22.0,0.0,0.0,0.0,2000000.0,68000.0,3953999.9999999995,134436.0,3953999.9999999995,0.23255813953488372,0.32558139534883723,0.3237704918032787,0.990909090909091,1989,hernake01,1B
2454,117,353,44,85,11,1,11,46.0,1.0,1.0,47,71.0,1.0,1.0,0.0,5.0,5.0,1.0,68.0,63.0,1566.0,119.0,5.0,1.0,0.0,0.0,0.0,0.0,1590000.0,68000.0,3143430.0,134436.0,3143430.0,0.24079320113314448,0.37110481586402266,0.3275862068965517,0.992,1989,lynnfr01,OF
2471,158,631,79,191,37,2,23,113.0,3.0,0.0,51,30.0,18.0,1.0,0.0,10.0,15.0,2.0,146.0,142.0,3719.0,1276.0,87.0,7.0,143.0,0.0,0.0,0.0,2200000.0,68000.0,4349400.0,134436.0,4349400.0,0.30269413629160064,0.47702060221870046,0.35064935064935066,0.9948905109489051,1989,mattido01,1B
2482,148,545,74,148,25,3,22,85.0,15.0,7.0,46,74.0,10.0,1.0,0.0,7.0,8.0,1.0,145.0,143.0,3771.0,307.0,10.0,10.0,3.0,0.0,0.0,0.0,1966666.0,68000.0,3888098.6819999996,134436.0,3888098.6819999996,0.27155963302752295,0.44954128440366975,0.32554257095158595,0.9694189602446484,1989,mcreyke01,OF
2496,155,615,84,194,35,4,11,56.0,27.0,11.0,64,67.0,4.0,4.0,4.0,9.0,11.0,2.0,128.0,127.0,3274.0,106.0,287.0,18.0,27.0,0.0,0.0,0.0,2100000.0,68000.0,4151699.9999999995,134436.0,4151699.9999999995,0.3154471544715447,0.43902439024390244,0.3786127167630058,0.9562043795620438,1989,molitpa01,3B
2504,154,574,60,131,16,0,20,84.0,3.0,2.0,65,142.0,10.0,2.0,0.0,6.0,14.0,1.0,151.0,151.0,4028.0,331.0,5.0,5.0,0.0,0.0,0.0,0.0,2000000.0,68000.0,3953999.9999999995,134436.0,3953999.9999999995,0.22822299651567945,0.3606271777003484,0.30602782071097373,0.9853372434017595,1989,murphda05,OF
2506,160,594,66,147,29,1,20,88.0,7.0,2.0,87,85.0,24.0,2.0,0.0,7.0,11.0,2.0,161.0,159.0,4264.0,1316.0,137.0,6.0,122.0,0.0,0.0,0.0,2331062.0,68000.0,4608509.574,134436.0,4608509.574,0.2474747474747475,0.4006734006734007,0.34202898550724636,0.995887594242632,1989,murraed02,1B
2554,159,635,75,215,45,4,9,85.0,11.0,4.0,41,59.0,9.0,3.0,0.0,5.0,21.0,1.0,157.0,154.0,3985.0,438.0,13.0,4.0,3.0,0.0,0.0,0.0,2000000.0,68000.0,3953999.9999999995,134436.0,3953999.9999999995,0.33858267716535434,0.4645669291338583,0.3786549707602339,0.9912087912087912,1989,puckeki01,OF
2560,145,517,76,148,29,6,9,60.0,41.0,9.0,93,48.0,18.0,3.0,0.0,5.0,8.0,1.0,139.0,138.0,3674.0,253.0,7.0,1.0,0.0,0.0,0.0,0.0,2104889.0,68000.0,4161365.553,134436.0,4161365.553,0.2862669245647969,0.41779497098646035,0.3948220064724919,0.9961685823754789,1989,raineti01,OF
2574,56,209,22,49,10,2,3,28.0,1.0,0.0,13,39.0,0.0,1.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2354748.0,68000.0,4655336.796,134436.0,4655336.796,0.23444976076555024,0.3444976076555024,0.27631578947368424,0.0,1989,riceji01,DH
2579,162,646,80,166,30,0,21,93.0,3.0,2.0,57,72.0,5.0,3.0,0.0,6.0,22.0,1.0,162.0,162.0,4300.0,276.0,531.0,8.0,119.0,0.0,0.0,0.0,2466667.0,68000.0,4876600.659,134436.0,4876600.659,0.25696594427244585,0.40092879256965946,0.31741573033707865,0.9901840490797545,1989,ripkeca01,SS
2623,155,593,82,162,30,8,2,50.0,29.0,7.0,55,37.0,3.0,2.0,11.0,3.0,10.0,1.0,153.0,152.0,4009.0,209.0,483.0,17.0,73.0,0.0,0.0,0.0,2240000.0,68000.0,4428480.0,134436.0,4428480.0,0.27318718381112983,0.3608768971332209,0.33537519142419603,0.9760225669957687,1989,smithoz01,SS
2663,130,476,64,113,18,9,9,53.0,16.0,4.0,47,100.0,3.0,3.0,1.0,4.0,13.0,2.0,125.0,118.0,3210.0,344.0,9.0,4.0,6.0,0.0,0.0,0.0,2150000.0,68000.0,4250550.0,134436.0,4250550.0,0.23739495798319327,0.3697478991596639,0.30754716981132074,0.988795518207283,1989,vanslan01,OF
2700,112,383,58,97,17,7,3,43.0,24.0,6.0,27,78.0,0.0,1.0,6.0,6.0,8.0,1.0,108.0,95.0,2495.0,252.0,2.0,6.0,0.0,0.0,0.0,0.0,2112205.0,68000.0,4175829.2849999997,134436.0,4175829.2849999997,0.25326370757180156,0.3577023498694517,0.2997601918465228,0.9769230769230769,1989,wilsowi02,OF
2741,142,562,67,149,25,0,21,86.0,3.0,2.0,32,80.0,7.0,3.0,0.0,11.0,14.0,1.0,106.0,106.0,2766.0,226.0,4.0,5.0,1.0,0.0,0.0,0.0,2000000.0,100000.0,3752000.0,187600.0,3752000.0,0.26512455516014233,0.42170818505338076,0.3026315789473684,0.9787234042553191,1990,bellge02,OF
2758,155,619,89,187,44,5,6,63.0,0.0,0.0,87,68.0,19.0,1.0,0.0,6.0,14.0,1.0,152.0,152.0,4022.0,108.0,241.0,20.0,18.0,0.0,0.0,0.0,1900000.0,100000.0,3564400.0,187600.0,3564400.0,0.30210016155088854,0.4184168012924071,0.3856942496493689,0.94579945799458,1990,boggswa01,3B
